 x=  0.500000000     y=  0.600000024     ising=           6
 x=  0.750000000     y=  0.600000024     ising=           6
 x=   1.00000000     y=  0.600000024     ising=           6
 x=   1.25000000     y=  0.600000024     ising=           6
 x=   1.50000000     y=  0.600000024     ising=           6
 x=   1.75000000     y=  0.600000024     ising=           6
 x=   2.00000000     y=  0.600000024     ising=           6
 x=   2.25000000     y=  0.600000024     ising=           6
 x=   2.50000000     y=  0.600000024     ising=           6
 x=   2.75000000     y=  0.600000024     ising=           6
 x=   3.00000000     y=  0.600000024     ising=           6
 x=   3.25000000     y=  0.600000024     ising=           6
 x=   3.50000000     y=  0.600000024     ising=           6
 x=   3.75000000     y=  0.600000024     ising=           6
 x=   4.00000000     y=  0.600000024     ising=           6
 x=   4.25000000     y=  0.600000024     ising=           6
 x=   4.50000000     y=  0.600000024     ising=           6
 x=   4.75000000     y=  0.600000024     ising=           6
 x=   0.00000000     y=  0.500000000     ising=           6
 x=  0.250000000     y=  0.500000000     ising=           6
 x=  0.500000000     y=  0.500000000     ising=           6
 x=  0.750000000     y=  0.500000000     ising=           6
 x=   1.00000000     y=  0.500000000     ising=           6
 x=   1.25000000     y=  0.500000000     ising=           6
 x=   1.50000000     y=  0.500000000     ising=           6
 x=   1.75000000     y=  0.500000000     ising=           6
 x=   2.00000000     y=  0.500000000     ising=           6
 x=   2.25000000     y=  0.500000000     ising=           6
 x=   2.50000000     y=  0.500000000     ising=           6
 x=   2.75000000     y=  0.500000000     ising=           6
 x=   3.00000000     y=  0.500000000     ising=           6
 x=   3.25000000     y=  0.500000000     ising=           6
 x=   3.50000000     y=  0.500000000     ising=           6
 x=   3.75000000     y=  0.500000000     ising=           6
 x=   4.00000000     y=  0.500000000     ising=           6
 x=   4.25000000     y=  0.500000000     ising=           6
 x=   4.50000000     y=  0.500000000     ising=           6
 x=   4.75000000     y=  0.500000000     ising=           6
 x=   0.00000000     y=  0.400000006     ising=           6
 x=  0.250000000     y=  0.400000006     ising=           6
 x=  0.500000000     y=  0.400000006     ising=           6
 x=  0.750000000     y=  0.400000006     ising=           6
 x=   1.00000000     y=  0.400000006     ising=           6
 x=   1.25000000     y=  0.400000006     ising=           6
 x=   1.50000000     y=  0.400000006     ising=           6
 x=   1.75000000     y=  0.400000006     ising=           6
 x=   2.00000000     y=  0.400000006     ising=           6
 x=   2.25000000     y=  0.400000006     ising=           6
 x=   2.50000000     y=  0.400000006     ising=           6
 x=   2.75000000     y=  0.400000006     ising=           6
 x=   3.00000000     y=  0.400000006     ising=           6
 x=   3.25000000     y=  0.400000006     ising=           6
 x=   3.50000000     y=  0.400000006     ising=           6
 x=   3.75000000     y=  0.400000006     ising=           6
 x=   4.00000000     y=  0.400000006     ising=           6
 x=   4.25000000     y=  0.400000006     ising=           6
 x=   4.50000000     y=  0.400000006     ising=           6
 x=   4.75000000     y=  0.400000006     ising=           6
 x=   0.00000000     y=  0.300000012     ising=           6
 x=  0.250000000     y=  0.300000012     ising=           6
 x=  0.500000000     y=  0.300000012     ising=           6
 x=  0.750000000     y=  0.300000012     ising=           6
 x=   1.00000000     y=  0.300000012     ising=           6
 x=   1.25000000     y=  0.300000012     ising=           6
 x=   1.50000000     y=  0.300000012     ising=           6
 x=   1.75000000     y=  0.300000012     ising=           6
 x=   2.00000000     y=  0.300000012     ising=           6
 x=   2.25000000     y=  0.300000012     ising=           6
 x=   2.50000000     y=  0.300000012     ising=           6
 x=   2.75000000     y=  0.300000012     ising=           6
 x=   3.00000000     y=  0.300000012     ising=           6
 x=   3.25000000     y=  0.300000012     ising=           6
 x=   3.50000000     y=  0.300000012     ising=           6
 x=   3.75000000     y=  0.300000012     ising=           6
 x=   4.00000000     y=  0.300000012     ising=           6
 x=   4.25000000     y=  0.300000012     ising=           6
 x=   4.50000000     y=  0.300000012     ising=           6
 x=   4.75000000     y=  0.300000012     ising=           6
 x=   0.00000000     y=  0.200000003     ising=           6
 x=  0.250000000     y=  0.200000003     ising=           6
 x=  0.500000000     y=  0.200000003     ising=           6
 x=  0.750000000     y=  0.200000003     ising=           6
 x=   1.00000000     y=  0.200000003     ising=           6
 x=   1.25000000     y=  0.200000003     ising=           6
 x=   1.50000000     y=  0.200000003     ising=           6
 x=   1.75000000     y=  0.200000003     ising=           6
 x=   2.00000000     y=  0.200000003     ising=           6
 x=   2.25000000     y=  0.200000003     ising=           6
 x=   2.50000000     y=  0.200000003     ising=           6
 x=   2.75000000     y=  0.200000003     ising=           6
 x=   3.00000000     y=  0.200000003     ising=           6
 x=   3.25000000     y=  0.200000003     ising=           6
 x=   3.50000000     y=  0.200000003     ising=           6
 x=   3.75000000     y=  0.200000003     ising=           6
 x=   4.00000000     y=  0.200000003     ising=           6
 x=   4.25000000     y=  0.200000003     ising=           6
 x=   4.50000000     y=  0.200000003     ising=           6
 x=   4.75000000     y=  0.200000003     ising=           6
 x=   0.00000000     y=  0.100000001     ising=           6
 x=  0.250000000     y=  0.100000001     ising=           6
 x=  0.500000000     y=  0.100000001     ising=           6
 x=  0.750000000     y=  0.100000001     ising=           6
 x=   1.00000000     y=  0.100000001     ising=           6
 x=   1.25000000     y=  0.100000001     ising=           6
 x=   1.50000000     y=  0.100000001     ising=           6
 x=   1.75000000     y=  0.100000001     ising=           6
 x=   2.00000000     y=  0.100000001     ising=           6
 x=   2.25000000     y=  0.100000001     ising=           6
 x=   2.50000000     y=  0.100000001     ising=           6
 x=   2.75000000     y=  0.100000001     ising=           6
 x=   3.00000000     y=  0.100000001     ising=           6
 x=   3.25000000     y=  0.100000001     ising=           6
 x=   3.50000000     y=  0.100000001     ising=           6
 x=   3.75000000     y=  0.100000001     ising=           6
 x=   4.00000000     y=  0.100000001     ising=           6
 x=   4.25000000     y=  0.100000001     ising=           6
 x=   4.50000000     y=  0.100000001     ising=           6
 x=   4.75000000     y=  0.100000001     ising=           6
 x=   0.00000000     y=   0.00000000     ising=           6
 x=  0.250000000     y=   0.00000000     ising=           6
 x=  0.500000000     y=   0.00000000     ising=           6
 x=  0.750000000     y=   0.00000000     ising=           6
 x=   1.00000000     y=   0.00000000     ising=           6
 x=   1.25000000     y=   0.00000000     ising=           6
 x=   1.50000000     y=   0.00000000     ising=           6
 x=   1.75000000     y=   0.00000000     ising=           6
 x=   2.00000000     y=   0.00000000     ising=           6
 x=   2.25000000     y=   0.00000000     ising=           6
 x=   2.50000000     y=   0.00000000     ising=           6
 x=   2.75000000     y=   0.00000000     ising=           6
 x=   3.00000000     y=   0.00000000     ising=           6
 x=   3.25000000     y=   0.00000000     ising=           6
 x=   3.50000000     y=   0.00000000     ising=           6
 x=   3.75000000     y=   0.00000000     ising=           6
 x=   4.00000000     y=   0.00000000     ising=           6
 x=   4.25000000     y=   0.00000000     ising=           6
 x=   4.50000000     y=   0.00000000     ising=           6
 x=   4.75000000     y=   0.00000000     ising=           6
 x=   0.00000000     y=  0.100000001     ising=           6
 x=  0.250000000     y=  0.100000001     ising=           6
 x=  0.500000000     y=  0.100000001     ising=           6
 x=  0.750000000     y=  0.100000001     ising=           6
 x=   1.00000000     y=  0.100000001     ising=           6
 x=   1.25000000     y=  0.100000001     ising=           6
 x=   1.50000000     y=  0.100000001     ising=           6
 x=   1.75000000     y=  0.100000001     ising=           6
 x=   2.00000000     y=  0.100000001     ising=           6
 x=   2.25000000     y=  0.100000001     ising=           6
 x=   2.50000000     y=  0.100000001     ising=           6
 x=   2.75000000     y=  0.100000001     ising=           6
 x=   3.00000000     y=  0.100000001     ising=           6
 x=   3.25000000     y=  0.100000001     ising=           6
 x=   3.50000000     y=  0.100000001     ising=           6
 x=   3.75000000     y=  0.100000001     ising=           6
 x=   4.00000000     y=  0.100000001     ising=           6
 x=   4.25000000     y=  0.100000001     ising=           6
 x=   4.50000000     y=  0.100000001     ising=           6
 x=   4.75000000     y=  0.100000001     ising=           6
 x=   0.00000000     y=  0.200000003     ising=           6
 x=  0.250000000     y=  0.200000003     ising=           6
 x=  0.500000000     y=  0.200000003     ising=           6
 x=  0.750000000     y=  0.200000003     ising=           6
 x=   1.00000000     y=  0.200000003     ising=           6
 x=   1.25000000     y=  0.200000003     ising=           6
 x=   1.50000000     y=  0.200000003     ising=           6
 x=   1.75000000     y=  0.200000003     ising=           6
 x=   2.00000000     y=  0.200000003     ising=           6
 x=   2.25000000     y=  0.200000003     ising=           6
 x=   2.50000000     y=  0.200000003     ising=           6
 x=   2.75000000     y=  0.200000003     ising=           6
 x=   3.00000000     y=  0.200000003     ising=           6
 x=   3.25000000     y=  0.200000003     ising=           6
 x=   3.50000000     y=  0.200000003     ising=           6
 x=   3.75000000     y=  0.200000003     ising=           6
 x=   4.00000000     y=  0.200000003     ising=           6
 x=   4.25000000     y=  0.200000003     ising=           6
 x=   4.50000000     y=  0.200000003     ising=           6
 x=   4.75000000     y=  0.200000003     ising=           6
 x=   0.00000000     y=  0.300000012     ising=           6
 x=  0.250000000     y=  0.300000012     ising=           6
 x=  0.500000000     y=  0.300000012     ising=           6
 x=  0.750000000     y=  0.300000012     ising=           6
 x=   1.00000000     y=  0.300000012     ising=           6
 x=   1.25000000     y=  0.300000012     ising=           6
 x=   1.50000000     y=  0.300000012     ising=           6
 x=   1.75000000     y=  0.300000012     ising=           6
 x=   2.00000000     y=  0.300000012     ising=           6
 x=   2.25000000     y=  0.300000012     ising=           6
 x=   2.50000000     y=  0.300000012     ising=           6
 x=   2.75000000     y=  0.300000012     ising=           6
 x=   3.00000000     y=  0.300000012     ising=           6
 x=   3.25000000     y=  0.300000012     ising=           6
 x=   3.50000000     y=  0.300000012     ising=           6
 x=   3.75000000     y=  0.300000012     ising=           6
 x=   4.00000000     y=  0.300000012     ising=           6
 x=   4.25000000     y=  0.300000012     ising=           6
 x=   4.50000000     y=  0.300000012     ising=           6
 x=   4.75000000     y=  0.300000012     ising=           6
 x=   0.00000000     y=  0.400000006     ising=           6
 x=  0.250000000     y=  0.400000006     ising=           6
 x=  0.500000000     y=  0.400000006     ising=           6
 x=  0.750000000     y=  0.400000006     ising=           6
 x=   1.00000000     y=  0.400000006     ising=           6
 x=   1.25000000     y=  0.400000006     ising=           6
 x=   1.50000000     y=  0.400000006     ising=           6
 x=   1.75000000     y=  0.400000006     ising=           6
 x=   2.00000000     y=  0.400000006     ising=           6
 x=   2.25000000     y=  0.400000006     ising=           6
 x=   2.50000000     y=  0.400000006     ising=           6
 x=   2.75000000     y=  0.400000006     ising=           6
 x=   3.00000000     y=  0.400000006     ising=           6
 x=   3.25000000     y=  0.400000006     ising=           6
 x=   3.50000000     y=  0.400000006     ising=           6
 x=   3.75000000     y=  0.400000006     ising=           6
 x=   4.00000000     y=  0.400000006     ising=           6
 x=   4.25000000     y=  0.400000006     ising=           6
 x=   4.50000000     y=  0.400000006     ising=           6
 x=   4.75000000     y=  0.400000006     ising=           6
 x=   0.00000000     y=  0.500000000     ising=           6
 x=  0.250000000     y=  0.500000000     ising=           6
 x=  0.500000000     y=  0.500000000     ising=           6
 x=  0.750000000     y=  0.500000000     ising=           6
 x=   1.00000000     y=  0.500000000     ising=           6
 x=   1.25000000     y=  0.500000000     ising=           6
 x=   1.50000000     y=  0.500000000     ising=           6
 x=   1.75000000     y=  0.500000000     ising=           6
 x=   2.00000000     y=  0.500000000     ising=           6
 x=   2.25000000     y=  0.500000000     ising=           6
 x=   2.50000000     y=  0.500000000     ising=           6
 x=   2.75000000     y=  0.500000000     ising=           6
 x=   3.00000000     y=  0.500000000     ising=           6
 x=   3.25000000     y=  0.500000000     ising=           6
 x=   3.50000000     y=  0.500000000     ising=           6
 x=   3.75000000     y=  0.500000000     ising=           6
 x=   4.00000000     y=  0.500000000     ising=           6
 x=   4.25000000     y=  0.500000000     ising=           6
 x=   4.50000000     y=  0.500000000     ising=           6
 x=   4.75000000     y=  0.500000000     ising=           6
 x=   0.00000000     y=  0.600000024     ising=           6
 x=  0.250000000     y=  0.600000024     ising=           6
 x=  0.500000000     y=  0.600000024     ising=           6
 x=  0.750000000     y=  0.600000024     ising=           6
 x=   1.00000000     y=  0.600000024     ising=           6
 x=   1.25000000     y=  0.600000024     ising=           6
 x=   1.50000000     y=  0.600000024     ising=           6
 x=   1.75000000     y=  0.600000024     ising=           6
 x=   2.00000000     y=  0.600000024     ising=           6
 x=   2.25000000     y=  0.600000024     ising=           6
 x=   2.50000000     y=  0.600000024     ising=           6
 x=   2.75000000     y=  0.600000024     ising=           6
 x=   3.00000000     y=  0.600000024     ising=           6
 x=   3.25000000     y=  0.600000024     ising=           6
 x=   3.50000000     y=  0.600000024     ising=           6
 x=   3.75000000     y=  0.600000024     ising=           6
 x=   4.00000000     y=  0.600000024     ising=           6
 x=   4.25000000     y=  0.600000024     ising=           6
 x=   4.50000000     y=  0.600000024     ising=           6
 x=   4.75000000     y=  0.600000024     ising=           6
 x=   0.00000000     y=  0.699999988     ising=           6
 x=  0.250000000     y=  0.699999988     ising=           6
 x=  0.500000000     y=  0.699999988     ising=           6
 x=  0.750000000     y=  0.699999988     ising=           6
 x=   1.00000000     y=  0.699999988     ising=           6
 x=   1.25000000     y=  0.699999988     ising=           6
 x=   1.50000000     y=  0.699999988     ising=           6
 x=   1.75000000     y=  0.699999988     ising=           6
 x=   2.00000000     y=  0.699999988     ising=           6
 x=   2.25000000     y=  0.699999988     ising=           6
 x=   2.50000000     y=  0.699999988     ising=           6
 x=   2.75000000     y=  0.699999988     ising=           6
 x=   3.00000000     y=  0.699999988     ising=           6
 x=   3.25000000     y=  0.699999988     ising=           6
 x=   3.50000000     y=  0.699999988     ising=           6
 x=   3.75000000     y=  0.699999988     ising=           6
 x=   4.00000000     y=  0.699999988     ising=           6
 x=   4.25000000     y=  0.699999988     ising=           6
 x=   4.50000000     y=  0.699999988     ising=           6
 x=   4.75000000     y=  0.699999988     ising=           6
 x=   0.00000000     y=  0.800000012     ising=           6
 x=  0.250000000     y=  0.800000012     ising=           6
 x=  0.500000000     y=  0.800000012     ising=           6
 x=  0.750000000     y=  0.800000012     ising=           6
 x=   1.00000000     y=  0.800000012     ising=           6
 x=   1.25000000     y=  0.800000012     ising=           6
 x=   1.50000000     y=  0.800000012     ising=           6
 x=   1.75000000     y=  0.800000012     ising=           6
 x=   2.00000000     y=  0.800000012     ising=           6
 x=   2.25000000     y=  0.800000012     ising=           6
 x=   2.50000000     y=  0.800000012     ising=           6
 x=   2.75000000     y=  0.800000012     ising=           6
 x=   3.00000000     y=  0.800000012     ising=           6
 x=   3.25000000     y=  0.800000012     ising=           6
 x=   3.50000000     y=  0.800000012     ising=           6
 x=   3.75000000     y=  0.800000012     ising=           6
 x=   4.00000000     y=  0.800000012     ising=           6
 x=   4.25000000     y=  0.800000012     ising=           6
 x=   4.50000000     y=  0.800000012     ising=           6
 x=   4.75000000     y=  0.800000012     ising=           6
 x=   0.00000000     y=  0.899999976     ising=           6
 x=  0.250000000     y=  0.899999976     ising=           6
 x=  0.500000000     y=  0.899999976     ising=           6
 x=  0.750000000     y=  0.899999976     ising=           6
 x=   1.00000000     y=  0.899999976     ising=           6
 x=   1.25000000     y=  0.899999976     ising=           6
 x=   1.50000000     y=  0.899999976     ising=           6
 x=   1.75000000     y=  0.899999976     ising=           6
 x=   2.00000000     y=  0.899999976     ising=           6
 x=   2.25000000     y=  0.899999976     ising=           6
 x=   2.50000000     y=  0.899999976     ising=           6
 x=   2.75000000     y=  0.899999976     ising=           6
 x=   3.00000000     y=  0.899999976     ising=           6
 x=   3.25000000     y=  0.899999976     ising=           6
 x=   3.50000000     y=  0.899999976     ising=           6
 x=   3.75000000     y=  0.899999976     ising=           6
 x=   4.00000000     y=  0.899999976     ising=           6
 x=   4.25000000     y=  0.899999976     ising=           6
 x=   4.50000000     y=  0.899999976     ising=           6
 x=   4.75000000     y=  0.899999976     ising=           6
 x=   0.00000000     y=   1.00000000     ising=           6
 x=  0.250000000     y=   1.00000000     ising=           6
 x=  0.500000000     y=   1.00000000     ising=           6
 x=  0.750000000     y=   1.00000000     ising=           6
 x=   1.00000000     y=   1.00000000     ising=           6
 x=   1.25000000     y=   1.00000000     ising=           6
 x=   1.50000000     y=   1.00000000     ising=           6
 x=   1.75000000     y=   1.00000000     ising=           6
 x=   2.00000000     y=   1.00000000     ising=           6
 x=   2.25000000     y=   1.00000000     ising=           6
 x=   2.50000000     y=   1.00000000     ising=           6
 x=   2.75000000     y=   1.00000000     ising=           6
 x=   3.00000000     y=   1.00000000     ising=           6
 x=   3.25000000     y=   1.00000000     ising=           6
 x=   3.50000000     y=   1.00000000     ising=           6
 x=   3.75000000     y=   1.00000000     ising=           6
 x=   4.00000000     y=   1.00000000     ising=           6
 x=   4.25000000     y=   1.00000000     ising=           6
 x=   4.50000000     y=   1.00000000     ising=           6
 x=   4.75000000     y=   1.00000000     ising=           6
 x=   0.00000000     y=  0.899999976     ising=           6
 x=  0.250000000     y=  0.899999976     ising=           6
 x=  0.500000000     y=  0.899999976     ising=           6
 x=  0.750000000     y=  0.899999976     ising=           6
 x=   1.00000000     y=  0.899999976     ising=           6
 x=   1.25000000     y=  0.899999976     ising=           6
 x=   1.50000000     y=  0.899999976     ising=           6
 x=   1.75000000     y=  0.899999976     ising=           6
 x=   2.00000000     y=  0.899999976     ising=           6
 x=   2.25000000     y=  0.899999976     ising=           6
 x=   2.50000000     y=  0.899999976     ising=           6
 x=   2.75000000     y=  0.899999976     ising=           6
 x=   3.00000000     y=  0.899999976     ising=           6
 x=   3.25000000     y=  0.899999976     ising=           6
 x=   3.50000000     y=  0.899999976     ising=           6
 x=   3.75000000     y=  0.899999976     ising=           6
 x=   4.00000000     y=  0.899999976     ising=           6
 x=   4.25000000     y=  0.899999976     ising=           6
 x=   4.50000000     y=  0.899999976     ising=           6
 x=   4.75000000     y=  0.899999976     ising=           6
 x=   0.00000000     y=  0.800000012     ising=           6
 x=  0.250000000     y=  0.800000012     ising=           6
 x=  0.500000000     y=  0.800000012     ising=           6
 x=  0.750000000     y=  0.800000012     ising=           6
 x=   1.00000000     y=  0.800000012     ising=           6
 x=   1.25000000     y=  0.800000012     ising=           6
 x=   1.50000000     y=  0.800000012     ising=           6
 x=   1.75000000     y=  0.800000012     ising=           6
 x=   2.00000000     y=  0.800000012     ising=           6
 x=   2.25000000     y=  0.800000012     ising=           6
 x=   2.50000000     y=  0.800000012     ising=           6
 x=   2.75000000     y=  0.800000012     ising=           6
 x=   3.00000000     y=  0.800000012     ising=           6
 x=   3.25000000     y=  0.800000012     ising=           6
 x=   3.50000000     y=  0.800000012     ising=           6
 x=   3.75000000     y=  0.800000012     ising=           6
 x=   4.00000000     y=  0.800000012     ising=           6
 x=   4.25000000     y=  0.800000012     ising=           6
 x=   4.50000000     y=  0.800000012     ising=           6
 x=   4.75000000     y=  0.800000012     ising=           6
 x=   0.00000000     y=  0.699999988     ising=           6
 x=  0.250000000     y=  0.699999988     ising=           6
 x=  0.500000000     y=  0.699999988     ising=           6
 x=  0.750000000     y=  0.699999988     ising=           6
 x=   1.00000000     y=  0.699999988     ising=           6
 x=   1.25000000     y=  0.699999988     ising=           6
 x=   1.50000000     y=  0.699999988     ising=           6
 x=   1.75000000     y=  0.699999988     ising=           6
 x=   2.00000000     y=  0.699999988     ising=           6
 x=   2.25000000     y=  0.699999988     ising=           6
 x=   2.50000000     y=  0.699999988     ising=           6
 x=   2.75000000     y=  0.699999988     ising=           6
 x=   3.00000000     y=  0.699999988     ising=           6
 x=   3.25000000     y=  0.699999988     ising=           6
 x=   3.50000000     y=  0.699999988     ising=           6
 x=   3.75000000     y=  0.699999988     ising=           6
 x=   4.00000000     y=  0.699999988     ising=           6
 x=   4.25000000     y=  0.699999988     ising=           6
 x=   4.50000000     y=  0.699999988     ising=           6
 x=   4.75000000     y=  0.699999988     ising=           6
 x=   0.00000000     y=  0.600000024     ising=           6
 x=  0.250000000     y=  0.600000024     ising=           6
 x=  0.500000000     y=  0.600000024     ising=           6
 x=  0.750000000     y=  0.600000024     ising=           6
 x=   1.00000000     y=  0.600000024     ising=           6
 x=   1.25000000     y=  0.600000024     ising=           6
 x=   1.50000000     y=  0.600000024     ising=           6
 x=   1.75000000     y=  0.600000024     ising=           6
 x=   2.00000000     y=  0.600000024     ising=           6
 x=   2.25000000     y=  0.600000024     ising=           6
 x=   2.50000000     y=  0.600000024     ising=           6
 x=   2.75000000     y=  0.600000024     ising=           6
 x=   3.00000000     y=  0.600000024     ising=           6
 x=   3.25000000     y=  0.600000024     ising=           6
 x=   3.50000000     y=  0.600000024     ising=           6
 x=   3.75000000     y=  0.600000024     ising=           6
 x=   4.00000000     y=  0.600000024     ising=           6
 x=   4.25000000     y=  0.600000024     ising=           6
 x=   4.50000000     y=  0.600000024     ising=           6
 x=   4.75000000     y=  0.600000024     ising=           6
 x=   0.00000000     y=  0.500000000     ising=           6
 x=  0.250000000     y=  0.500000000     ising=           6
 x=  0.500000000     y=  0.500000000     ising=           6
 x=  0.750000000     y=  0.500000000     ising=           6
 x=   1.00000000     y=  0.500000000     ising=           6
 x=   1.25000000     y=  0.500000000     ising=           6
 x=   1.50000000     y=  0.500000000     ising=           6
 x=   1.75000000     y=  0.500000000     ising=           6
 x=   2.00000000     y=  0.500000000     ising=           6
 x=   2.25000000     y=  0.500000000     ising=           6
 x=   2.50000000     y=  0.500000000     ising=           6
 x=   2.75000000     y=  0.500000000     ising=           6
 x=   3.00000000     y=  0.500000000     ising=           6
 x=   3.25000000     y=  0.500000000     ising=           6
 x=   3.50000000     y=  0.500000000     ising=           6
 x=   3.75000000     y=  0.500000000     ising=           6
 x=   4.00000000     y=  0.500000000     ising=           6
 x=   4.25000000     y=  0.500000000     ising=           6
 x=   4.50000000     y=  0.500000000     ising=           6
 x=   4.75000000     y=  0.500000000     ising=           6
 x=   0.00000000     y=  0.400000006     ising=           6
 x=  0.250000000     y=  0.400000006     ising=           6
 x=  0.500000000     y=  0.400000006     ising=           6
 x=  0.750000000     y=  0.400000006     ising=           6
 x=   1.00000000     y=  0.400000006     ising=           6
 x=   1.25000000     y=  0.400000006     ising=           6
 x=   1.50000000     y=  0.400000006     ising=           6
 x=   1.75000000     y=  0.400000006     ising=           6
 x=   2.00000000     y=  0.400000006     ising=           6
 x=   2.25000000     y=  0.400000006     ising=           6
 x=   2.50000000     y=  0.400000006     ising=           6
 x=   2.75000000     y=  0.400000006     ising=           6
 x=   3.00000000     y=  0.400000006     ising=           6
 x=   3.25000000     y=  0.400000006     ising=           6
 x=   3.50000000     y=  0.400000006     ising=           6
 x=   3.75000000     y=  0.400000006     ising=           6
 x=   4.00000000     y=  0.400000006     ising=           6
 x=   4.25000000     y=  0.400000006     ising=           6
 x=   4.50000000     y=  0.400000006     ising=           6
 x=   4.75000000     y=  0.400000006     ising=           6
 x=   0.00000000     y=  0.300000012     ising=           6
 x=  0.250000000     y=  0.300000012     ising=           6
 x=  0.500000000     y=  0.300000012     ising=           6
 x=  0.750000000     y=  0.300000012     ising=           6
 x=   1.00000000     y=  0.300000012     ising=           6
 x=   1.25000000     y=  0.300000012     ising=           6
 x=   1.50000000     y=  0.300000012     ising=           6
 x=   1.75000000     y=  0.300000012     ising=           6
 x=   2.00000000     y=  0.300000012     ising=           6
 x=   2.25000000     y=  0.300000012     ising=           6
 x=   2.50000000     y=  0.300000012     ising=           6
 x=   2.75000000     y=  0.300000012     ising=           6
 x=   3.00000000     y=  0.300000012     ising=           6
 x=   3.25000000     y=  0.300000012     ising=           6
 x=   3.50000000     y=  0.300000012     ising=           6
 x=   3.75000000     y=  0.300000012     ising=           6
 x=   4.00000000     y=  0.300000012     ising=           6
 x=   4.25000000     y=  0.300000012     ising=           6
 x=   4.50000000     y=  0.300000012     ising=           6
